Respondent,State,Internet_use,Age,Weight
154128,6,1,38,2.3547096
154357,39,1,60,0.3538788
154456,48,1,37,1.1047708
154472,35,1,67,0.4362632
154658,53,1,99,0.4036037
154667,6,1,51,0.8246844
154751,9,1,63,0.5880008
154770,27,1,59,0.6168597
154789,21,1,53,0.8192717
154818,48,1,56,0.3944246
154829,4,1,65,0.3536481
154876,36,1,60,1.7062488
154914,51,1,54,0.6702568
155030,2,1,40,0.9701474
155080,13,1,22,0.5353107
155120,27,1,68,0.7847505
155125,29,1,72,0.4009002
155163,47,1,67,0.420625
155171,56,1,62,0.5476937
155177,8,1,35,1.1809782
155181,53,1,65,0.4866835
155256,36,1,63,0.3980321
155262,18,1,25,2.4596811
155536,4,1,45,0.7027417
155549,6,1,23,0.9057813
155566,23,1,57,0.3542317
155610,36,1,65,0.8613393
155625,36,1,47,1.5533351
155779,39,1,22,0.5999678
155830,17,1,48,0.8244274
155943,6,1,33,0.7038354
155983,25,1,34,1.2822161
156022,31,1,68,0.5870634
156097,2,1,32,0.9734647
156102,42,1,23,0.5860574
156173,12,1,54,0.7958824
156177,36,1,38,0.8621335
156355,12,1,69,0.5093838
156363,55,1,28,0.4214263
156464,42,1,99,0.8356718
156537,2,1,24,1.1396313
156545,54,1,31,0.9942557
156547,17,1,25,0.8679358
156593,48,1,43,2.2628044
156629,6,1,58,0.3110796
156693,39,1,45,0.6418052
156723,48,1,55,1.3318699
156810,41,1,40,0.8392736
156858,37,1,87,0.5504172
156964,6,1,49,1.0866688
157080,22,1,52,1.8191138
157118,20,1,46,0.9172523
157406,12,1,74,0.4247035
157439,29,1,32,0.7927198
157471,5,1,23,0.4862828
157481,16,1,62,0.337806
157587,45,1,70,0.6907328
157654,22,1,62,0.9825373
157700,2,1,75,0.942769
157763,51,1,43,0.7352149
157765,12,1,52,1.0223465
158112,51,1,66,0.77282
158123,23,1,31,1.4786205
158158,1,1,70,0.329412
158165,29,1,23,1.0446425
158199,49,1,74,1.5179767
158462,9,1,35,0.7531791
158578,6,1,32,0.6282187
158659,36,1,23,1.5360454
158723,48,1,99,2.4596811
158746,6,1,29,0.8036903
158812,39,1,50,2.4596811
158923,41,1,42,0.9169281
158962,36,1,33,1.5043662
159027,17,1,45,1.4946008
159189,9,1,65,0.3378943
159343,51,1,19,1.0284501
159490,10,1,64,1.3428451
159571,48,2,68,0.8025244
159620,6,1,62,0.6808899
159714,18,1,32,1.7429932
159761,21,1,43,1.1232398
159970,30,1,52,0.7792396
159975,8,1,35,0.8947765
159984,2,1,31,1.3772623
160133,20,1,27,0.6171213
160276,21,1,64,0.5778758
160544,26,1,55,0.6660001
160545,26,1,39,0.847333
160586,36,2,29,1.2034041
160641,22,2,66,2.4307942
161032,35,1,40,1.1860529
161096,25,1,48,2.112585
161216,8,1,40,0.8354582
161446,25,1,73,0.3950985
161522,40,1,37,1.1047708
161946,34,1,19,2.4596811
162041,48,1,52,1.5539732
162078,48,1,64,0.4690787
162133,26,1,54,0.8603146
162241,48,1,75,0.4546581
162262,35,1,99,1.615917
162274,53,1,25,0.9499473
162284,32,1,33,1.3004367
162339,39,1,43,1.0722371
162441,8,1,37,0.8379908
162452,41,1,45,0.9607253
162713,12,1,81,0.4566118
162787,40,2,70,1.4449496
163411,34,1,30,2.4596811
163448,45,1,19,0.8579984
163521,4,1,45,0.770351
163596,39,1,18,2.4596811
163777,39,1,64,0.8458207
164148,42,1,20,1.0204222
164358,27,1,48,1.0820511
164422,53,1,59,0.5865806
164707,13,1,65,0.5266508
164710,39,2,69,0.6528712
164729,55,1,65,0.4637481
164902,1,1,36,1.1895015
164940,17,1,49,0.735855
164965,53,1,75,0.5936226
165035,39,1,31,2.4596811
165242,9,1,60,0.3980321
165259,27,1,69,0.4372871
165370,37,1,59,0.3110796
165415,51,1,42,0.8558884
165650,20,1,38,0.943817
165862,41,1,19,1.4474675
165999,29,1,38,0.943817
166075,39,1,53,0.8603146
166083,44,1,50,1.9449073
166169,55,1,34,1.1289575
166215,41,1,75,0.3882559
166217,53,1,45,1.2826253
166223,33,1,28,1.3120928
166231,6,1,69,0.3110796
166547,22,1,66,0.3110796
166602,18,1,61,0.405736
166814,51,1,78,0.5804471
166833,12,1,21,1.5406446
166962,13,1,38,1.9875207
167074,47,1,99,0.5921819
167122,12,1,36,1.4558103
167189,6,1,54,1.3862932
167254,36,1,56,0.6505588
167337,48,1,47,2.0595514
167476,45,2,40,1.4509899
167631,48,1,47,1.2155475
167647,4,1,40,1.7321786
167802,6,1,23,0.4973813
167902,29,1,49,0.7881014
167974,32,1,65,1.3472041
168043,26,1,35,1.1604178
168161,2,1,50,1.9729424
168389,48,1,62,0.6867389
168440,42,1,99,0.414597
168812,25,1,67,0.3809014
169006,36,1,35,1.2131311
169203,24,1,26,0.6603461
169230,34,1,24,1.3512428
169318,13,1,41,1.8089262
169440,4,1,65,0.4362632
169508,25,1,27,1.4365522
169558,17,1,40,0.6870892
169584,48,1,18,2.4596811
169608,53,1,36,1.550447
169654,39,1,28,1.0699121
169942,34,1,50,1.0794901
169986,48,1,71,0.9250309
170030,6,1,67,0.3945203
170096,12,1,62,2.1202286
170227,36,1,59,0.8891262
170274,48,1,44,0.7387738
170325,34,1,64,0.5706725
170525,25,1,55,0.3980321
170616,48,1,47,0.721932
170816,49,1,43,0.9620018
170931,36,1,47,0.718794
171012,53,1,35,1.8774362
171101,45,1,57,0.6139404
171177,6,1,34,2.3130511
171272,39,1,74,2.4596811
171302,17,1,32,1.4676758
171350,35,1,67,0.4672383
171606,42,1,48,1.4246781
171619,12,1,47,2.4076707
171724,53,1,25,0.9499473
171991,25,1,18,1.6105505
172182,39,1,29,0.7105943
172217,17,1,36,1.4902209
172224,48,1,37,0.7612909
172239,40,1,18,1.8300002
172292,36,1,37,0.9844086
172468,37,1,65,0.5504172
172645,51,2,74,0.9250309
172646,36,1,58,1.1568814
172661,25,1,20,2.3235527
172755,36,1,42,1.1335131
172798,32,1,77,0.679927
172799,6,1,52,0.8144046
172850,36,1,75,0.3414402
172983,6,1,78,1.4484207
173042,39,1,50,0.9172523
173172,40,1,62,1.332136
173250,48,1,57,0.9401127
173263,48,1,84,0.8159243
173374,36,1,25,0.9283445
173391,39,2,89,0.5923003
173482,4,1,58,0.6693335
173576,18,1,41,1.1888365
173742,42,1,28,1.2822161
173837,30,1,81,0.3680148
173850,41,1,28,1.7264147
173854,6,1,37,1.3264676
173935,51,1,22,1.9790267
173994,17,1,62,0.6446968
174196,4,1,33,2.0241878
174356,48,1,34,0.7366644
174409,36,1,90,0.3110796
174472,48,1,51,0.4986503
174487,48,1,25,0.7978334
174526,48,1,59,0.3770454
174556,53,1,61,0.6766312
174716,16,1,60,0.3849328
174760,37,1,55,0.649854
174937,51,1,25,0.6054843
174957,39,1,64,1.0834771
175086,6,1,56,0.3617905
175137,39,1,45,1.8735002
175212,55,1,59,2.4596811
175286,11,1,20,1.3675775
175616,4,1,30,1.497409
175673,47,1,51,0.9205734
175707,26,2,76,1.747162
175881,36,1,23,0.5669073
175946,38,1,58,0.7105298
175956,20,1,55,1.5816326
175957,48,1,28,0.6575208
176040,25,1,51,0.9035055
176150,49,1,20,1.0347064
176339,53,1,33,0.547926
176342,41,1,53,1.6634324
176480,48,1,60,0.4098615
176516,6,1,34,0.5614908
176545,26,1,41,1.3003947
176564,39,1,59,2.4596811
176727,18,1,77,0.602162
176752,39,1,40,0.847333
176887,32,1,36,0.8379908
176892,6,1,61,0.3110796
176909,26,2,60,1.1286659
177010,55,1,39,1.9261536
177175,55,1,46,1.0516658
177270,23,1,37,0.7213876
177277,47,1,73,0.9026836
177353,55,1,70,0.3495444
177471,34,1,22,2.4596811
177502,13,1,59,2.3660378
177584,41,1,99,0.3617905
177589,6,1,59,0.6779766
177639,36,1,66,1.1624563
177660,12,1,41,0.9813098
177728,19,1,50,1.0820511
177918,48,1,56,1.0627229
177969,42,1,56,0.4234925
178163,36,1,24,1.1666621
178302,41,1,46,0.8144046
178498,41,1,35,0.8947765
178576,36,1,28,0.6941189
178868,6,2,82,0.4643158
179016,41,1,28,2.2932932
179141,32,1,68,0.6348519
179259,48,1,56,0.4494502
179313,41,1,40,1.0731833
179362,42,1,63,1.1103825
179499,26,1,37,1.1554527
179764,1,1,99,2.0548045
179771,48,1,58,0.3369964
179865,18,1,34,1.6643908
179926,37,1,54,1.0949341
179980,48,1,42,1.0780812
180118,36,1,25,2.0208479
180154,13,1,74,0.5025219
180184,5,1,44,0.9855265
180325,42,1,74,0.9078804
180421,6,1,23,0.4907854
180634,55,1,56,0.4074795
180736,26,1,53,0.8891332
180850,24,1,78,0.3725514
180868,34,1,67,0.7480371
180912,30,1,27,2.4596811
180969,49,1,39,0.9855615
181019,37,1,20,0.9707731
181391,39,1,48,0.9863845
181561,39,1,58,2.0645747
181877,53,1,62,0.337806
181895,6,1,23,0.6880638
182254,23,1,72,0.3175802
182552,19,1,32,2.4596811
182574,56,1,60,0.5657917
182626,18,1,49,1.0561849
182699,48,1,38,0.7612909
182858,26,1,21,1.0446425
183080,29,1,47,1.4946008
183120,35,1,62,1.2138911
183387,13,1,62,0.5933861
183469,20,1,30,2.4596811
183835,40,1,43,0.700767
183838,22,1,60,0.8096793
183920,48,1,54,0.7323726
183929,36,1,30,1.8922977
184160,13,1,25,0.5734829
184450,10,1,76,0.9629045
184500,12,1,28,1.0639224
184532,5,1,71,1.7274714
184683,36,1,68,0.3110796
184700,29,1,51,0.8829625
184757,6,1,52,0.9123504
184937,4,1,26,1.3772623
185096,12,1,76,0.3234374
185171,12,1,25,1.6197416
185623,27,1,32,1.14488
185632,48,1,80,0.3234374
185764,16,1,31,0.5614908
186020,56,1,46,0.6254105
186252,18,1,61,0.405736
186414,6,1,22,2.4596811
186950,6,1,50,1.0036393
187090,29,1,47,1.1782515
187476,8,1,40,0.8379908
187518,26,1,51,0.6029669
187522,54,1,34,1.441502
187529,36,1,42,2.0641838
187768,34,1,55,0.4440338
187831,16,1,27,1.3772623
187835,35,1,54,1.3736929
187916,21,1,55,0.6139404
188149,53,1,25,1.5475587
188193,48,1,27,0.9944984
188395,6,1,48,1.1939551
188416,26,2,83,0.8520909
188576,6,1,33,0.7504104
188847,45,1,39,2.4596811
188849,26,1,43,1.7979002
188929,8,1,45,1.3814145
188985,13,1,22,2.4596811
189015,13,1,26,1.3666559
189062,29,1,99,0.3634112
189125,53,1,69,0.7310106
189153,24,1,77,0.388097
189305,6,1,80,0.6055424
189364,12,1,60,0.6654044
189418,48,1,99,0.3288551
189456,29,1,58,1.2645197
189582,21,1,60,1.203727
189754,37,1,60,0.6709656
189795,40,1,75,0.3110796
189968,48,1,41,1.3409007
190093,13,1,63,0.6898532
190096,42,1,47,0.9633018
190326,29,1,52,0.8816129
190794,25,1,65,0.857654
190886,16,1,64,0.5865806
190889,35,1,55,0.5079643
190977,44,1,29,1.2034041
191159,37,1,99,0.4224291
191212,48,1,44,1.0827654
191304,1,1,41,1.0780812
191308,12,1,69,0.5917705
191329,42,1,68,0.4079458
191628,6,1,22,1.9258167
191755,22,1,76,0.4566118
191781,48,1,27,2.4596811
191872,55,1,18,1.0860456
191946,27,1,53,1.2106431
192104,48,1,42,0.7645621
192106,17,1,65,0.7847505
192347,6,1,61,0.7137897
192355,6,1,65,0.5964345
192425,19,1,28,0.6171213
192449,37,1,44,1.2029908
192492,17,1,35,0.847333
192596,37,1,93,0.3339552
192610,26,2,92,0.6368004
192642,29,1,45,1.3563642
192738,18,1,31,1.3126502
192746,13,1,36,1.2873258
192781,51,1,25,1.6197416
192882,9,1,65,2.4211672
192917,12,1,66,0.9026836
192928,36,1,49,0.7698291
193094,21,1,66,0.9026836
193218,53,1,50,1.6109
193279,26,1,25,2.0488318
193324,34,1,19,1.0810492
193765,6,1,39,0.8392736
193774,6,1,67,0.352135
194093,12,1,30,0.8012618
194638,16,1,67,0.6967596
194874,36,1,20,0.7940253
194929,45,1,24,0.5599382
194933,34,1,26,0.7893324
194935,36,1,62,0.3110796
195068,21,1,55,1.0370493
195159,48,1,71,0.6714423
195183,4,1,99,0.5913243
195281,13,1,48,1.1929165
195297,18,1,70,0.4372871
195300,12,1,72,0.388097
195319,40,2,39,0.7991481
195364,49,1,99,0.3342979
195411,36,1,69,0.3510351
195604,13,1,25,1.6197416
195668,48,1,36,0.9371339
195802,6,1,31,1.1654682
196008,42,1,39,1.7487012
196015,48,1,51,0.8805688
196051,40,1,25,0.5876803
196194,36,1,34,0.64533
196213,40,1,62,0.7126488
196241,48,1,28,0.6575208
196350,51,1,30,1.4066775
196440,49,1,77,0.3110796
196630,6,1,59,1.0866295
196636,53,1,75,0.3110796
196821,41,1,62,0.3617905
196973,48,2,65,1.0349623
196974,17,1,56,0.405736
197093,36,1,22,0.5885757
197099,34,2,62,0.3110796
197346,4,1,55,1.1409115
197602,18,2,68,1.1185019
197699,12,1,60,0.6139404
197795,37,1,49,1.0077721
197974,39,1,40,0.7358731
198090,20,1,25,1.0147193
198147,26,1,39,1.2865572
198166,53,1,31,0.9499473
198336,8,1,57,2.2605968
198540,12,1,53,0.580367
198615,34,1,77,0.3809014
198624,34,1,52,2.2520834
198645,55,1,52,1.0820511
198773,51,1,43,1.0737475
199101,45,1,62,0.7219933
199139,48,1,70,0.5455506
199399,12,1,64,0.5991086
199577,8,1,81,0.3323867
200102,51,1,63,0.3770454
200103,6,1,66,0.5385911
200133,1,1,56,1.1313585
200476,6,1,18,1.010465
200642,39,1,32,0.7075538
200814,36,1,99,0.7251351
200837,12,1,64,0.3110796
200877,17,1,92,0.8780108
200895,4,1,18,1.9139676
201060,38,1,62,0.6372431
201199,25,1,20,2.4596811
201252,8,1,26,2.4596811
201312,42,1,20,1.1383556
201375,37,1,50,1.5606508
201459,6,1,44,1.2967759
201711,9,1,65,0.4340404
202018,6,1,79,0.4706298
202109,40,1,22,0.8639472
202130,47,1,26,1.0578541
202248,36,1,35,1.2131311
202351,24,2,66,0.9250309
202396,39,1,18,2.4596811
202704,36,1,60,0.4222949
202791,6,1,65,0.4343966
202844,8,1,69,0.3110796
202857,16,1,22,1.1678445
202930,25,1,40,0.8896306
202933,47,1,32,1.3666559
203181,27,1,52,1.2558988
203352,47,1,25,0.893866
203388,53,1,99,0.9480509
203538,21,1,28,0.9843883
203558,4,1,68,0.5389074
203621,26,1,63,1.5251981
203876,48,1,22,1.355255
204014,1,1,35,1.7816141
204108,18,1,38,2.4596811
204122,12,1,99,0.4224291
204174,12,1,25,0.9843883
204321,36,1,37,1.1556558
204621,6,2,50,2.4596811
204708,37,1,99,0.6619655
204837,47,1,45,0.6111868
204989,24,1,58,0.4224291
205070,39,1,56,1.3384702
205546,4,1,39,1.7529735
205708,12,1,42,1.1047708
205783,48,1,40,0.7912275
205874,26,1,70,0.5870634
205925,13,1,47,2.3142119
205928,42,1,66,1.5935126
206003,13,1,34,1.6332578
206178,20,1,75,0.4683348
206193,6,1,27,0.547926
206236,26,1,34,1.6874754
300053,48,2,48,2.4596811
300587,12,1,99,1.0966029
300680,48,1,37,1.2305901
300852,6,1,59,1.3047801
300905,53,1,46,1.9252792
300910,42,1,19,0.9226109
301217,25,1,63,0.3963289
301239,48,1,40,1.3049888
301647,53,2,53,2.4596811
301714,53,1,78,0.8252163
301774,48,1,62,1.2526336
301950,6,1,59,2.4596811
302041,5,1,99,0.3369964
302304,48,1,69,0.8194304
302327,48,1,34,0.608086
302719,6,1,44,0.6695377
302923,24,1,28,2.0722264
303129,4,1,73,1.4267155
303148,40,1,51,2.4596811
303200,6,1,18,0.7866329
303250,48,1,22,0.6073051
303535,6,1,20,1.3188587
303618,6,1,23,1.9072967
303663,6,2,39,2.4596811
303780,12,1,56,0.4360787
303886,48,1,40,2.4596811
304101,6,1,35,1.2912275
304591,4,1,36,1.9650753
304658,48,1,70,0.4566118
304825,6,1,66,1.4267155
304951,9,1,52,2.4596811
305138,6,1,19,1.4474675
305175,17,1,64,0.7129737
305499,44,2,37,2.2024818
305691,12,1,58,0.5991086
305724,5,1,28,2.4596811
305878,10,1,57,0.7950117
306079,36,1,39,1.1286633
306218,5,2,74,0.3110796
306377,12,1,24,0.8845445
306533,6,1,65,0.9930889
306679,48,1,40,2.4596811
306897,6,1,36,1.2944223
307113,12,1,23,1.820341
307186,48,1,27,0.608086
307287,6,1,38,0.6854232
307322,55,1,18,0.7713452
307673,6,1,45,2.4596811
307838,48,1,48,0.9406583
307855,6,2,55,1.9463967
307953,12,1,62,0.6619655
308420,32,1,55,0.5360508
308631,25,1,27,2.4596811
308785,48,1,45,2.4596811
308786,49,1,26,2.4596811
308922,48,1,52,0.5007929
309130,4,2,63,1.6976273
309250,48,1,60,2.4596811
309604,6,1,35,0.8392736
309768,48,2,53,2.4596811
309917,48,1,19,0.7612642
309974,6,1,65,0.679927
310017,24,1,41,1.0176237
310930,35,1,46,1.3124982
310960,41,1,18,0.7866329
311118,6,1,23,2.203869
311426,6,1,50,2.4596811
