Country_Name,CO2 emissions (metric tons per capita),Access to electricity (% of population),Fossil fuel energy consumption (% of total),Energy use (metric tonne of oil equivalent per capita),Population density (people per sq. km of land area),Adjusted net national income per capita (current US$),Oil rents (% of GDP)
Lithuania,4.598898,100,74.29751,2.975912,53.00779,12.42911,0.275276
Luxembourg,24.82465,100,91.16899,9.428811,204.9985,69.9786,0
"Macedonia, FYR",5.521428,100,85.06011,1.511246,82.04877,4.093988,0
Malaysia,7.986951,100,95.11674,2.818864,88.3334,7.909207,9.50486
Maldives,2.964158,100,0,0.864865,1283.333,5.214524,0
Mauritius,3.132083,100,83.15324,1.06778,618.6611,8.280553,0
Mexico,4.126988,99.1,90.02251,1.572879,62.79532,7.755008,8.268175
Moldova,1.398822,100,92.64323,0.984625,125.1501,2.079694,0
Mongolia,6.915147,89.76256,96.332,1.679675,1.80768,3.133281,2.604683
Morocco,1.742833,100,89.65935,0.571487,73.90587,2.591145,0.006693
Mozambique,0.13119,20.2,9.108038,0.410656,32.72327,0.49218,0.154664
Myanmar,0.250435,52.36256,31.85685,0.307913,80.44682,1.332909,0.716669
Namibia,1.691633,47.26256,66.41013,0.723887,2.783521,4.827856,0
Nepal,0.161138,76.3,15.17121,0.388849,191.8418,0.623957,0
Netherlands,10.94932,100,93.8351,5.020998,496.885,45.75201,0.114241
New Zealand,8.205266,100,68.18112,4.375379,16.7411,31.70647,1.329969
Nicaragua,0.843542,77.9,49.16398,0.559726,48.83691,1.555862,0
Niger,0.083958,14.4,29.68774,0.136786,13.92262,0.321084,9.212233
Nigeria,0.749914,55.6,21.70702,0.796633,184.7233,2.205444,38.23748
Norway,11.61619,100,63.07966,6.939494,13.74029,76.86455,14.55571
Oman,20.20389,97.69783,100,7.155123,11.45458,10.52733,41.55156
Pakistan,0.994536,93.6,63.34229,0.523267,230.1166,1.214196,1.197953
Panama,2.625276,90.87544,79.70988,1.108987,50.35998,8.892155,0
Paraguay,0.841915,98.2,33.81693,0.783335,16.05628,3.335704,0
Peru,1.969722,91.2,77.88682,0.715614,23.56154,5.13701,2.514239
Philippines,0.878135,87.5,60.11117,0.451045,322.0221,2.809337,0.329734
Poland,8.364405,100,96.00673,2.654494,124.5893,11.8193,0.094526
Portugal,6.217958,100,84.12213,2.519005,115.4395,19.67954,0
Qatar,61.98976,97.69783,100,19.91194,173.611,55.681,37.94151
Romania,4.86651,100,85.05886,1.928966,92.70234,8.079086,1.790519
Russian Federation,12.64733,100,90.94749,5.1744,8.761071,11.34271,20.15925
Samoa,1.25211,100,0,0.318265,66.74947,3.594879,0
Sao Tome and Principe,0.587909,60.46256,0,0.280999,185.9208,1.319227,0
Saudi Arabia,18.97763,97.69783,99.99678,6.792394,13.72107,17.65456,59.22617
Senegal,0.638488,56.5,55.16466,0.303732,71.57382,0.973983,0
Seychelles,8.669031,100,0,2.87234,195.1522,10.74005,0
Singapore,7.116921,100,98.30136,5.264399,7524.698,45.91818,0
Slovak Republic,7.325391,100,72.10779,3.50458,112.4517,14.79292,0.016675
